timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690374937271,52,user login,200,OK,Thread Group 1-1,text,true,,593,312,1,1,http://dmoney.roadtocareer.net/user/login,49,0,24
1690374937348,28,Creates an agent,201,Created,Thread Group 1-1,text,true,,601,592,1,1,http://dmoney.roadtocareer.net/user/create,28,0,0
1690374937379,67,Deposit to agent,201,Created,Thread Group 1-1,text,true,,444,529,1,1,http://dmoney.roadtocareer.net/transaction/deposit,67,0,0
1690374937447,28,Creates a customer,201,Created,Thread Group 1-1,text,true,,602,593,1,1,http://dmoney.roadtocareer.net/user/create,28,0,0
1690374937477,71,Deposit to customer,201,Created,Thread Group 1-1,text,true,,437,536,1,1,http://dmoney.roadtocareer.net/transaction/deposit,71,0,0
1690374937550,22,Check customer balance ,200,OK,Thread Group 1-1,text,true,,377,434,1,1,http://dmoney.roadtocareer.net/transaction/balance/01706262527,22,0,0
1690374937574,35,withdraw by customer,201,Created,Thread Group 1-1,text,true,,429,534,1,1,http://dmoney.roadtocareer.net/transaction/withdraw,35,0,0
1690374937610,36,payment to merchant,201,Created,Thread Group 1-1,text,true,,428,533,1,1,http://dmoney.roadtocareer.net/transaction/payment,36,0,0
1690374937646,13,assert cus balance,200,OK,Thread Group 1-1,text,true,,376,434,1,1,http://dmoney.roadtocareer.net/transaction/balance/01706262527,13,0,0
